epoch,dev_f1,dev_precision,dev_recall,dev_support,loss,test_f1,test_precision,test_recall,test_support
0,"""[0.9067082683307331, 0.0]""","""[0.829337899543379, 0.0]""","""[1.0, 0.0]""","""[2906, 598]""",0.18233749270439148,"""[0.8936797912175195, 0.0]""","""[0.8077948717948717, 0.0]""","""[1.0, 0.0]""","""[3938, 937]"""
1,"""[0.9067082683307331, 0.0]""","""[0.829337899543379, 0.0]""","""[1.0, 0.0]""","""[2906, 598]""",0.7531693577766418,"""[0.8936797912175195, 0.0]""","""[0.8077948717948717, 0.0]""","""[1.0, 0.0]""","""[3938, 937]"""
2,"""[0.9079831276363068, 0.029654036243822075]""","""[0.8314735336194564, 1.0]""","""[1.0, 0.015050167224080268]""","""[2906, 598]""",0.6455813050270081,"""[0.8905325443786982, 0.0]""","""[0.8068041237113402, 0.0]""","""[0.9936515997968512, 0.0]""","""[3938, 937]"""
3,"""[0.8679590343818581, 0.5311688311688312]""","""[0.9262295081967213, 0.43418259023354566]""","""[0.8165863730213352, 0.6839464882943144]""","""[2906, 598]""",0.6250402331352234,"""[0.8932341650671785, 0.3705799151343706]""","""[0.8465211459754434, 0.549266247379455]""","""[0.9454037582529202, 0.27961579509071505]""","""[3938, 937]"""
4,"""[0.9111145947640695, 0.0985691573926868]""","""[0.8367405701122949, 1.0]""","""[1.0, 0.051839464882943144]""","""[2906, 598]""",0.6105307340621948,"""[0.8932461873638344, 0.09523809523809523]""","""[0.8143424628893999, 0.532608695652174]""","""[0.9890807516505841, 0.052294557097118465]""","""[3938, 937]"""
5,"""[0.9096885271560494, 0.0678513731825525]""","""[0.8343382141831754, 1.0]""","""[1.0, 0.03511705685618729]""","""[2906, 598]""",0.5640311241149902,"""[0.8911634254520642, 0.0]""","""[0.8070030895983522, 0.0]""","""[0.9949212798374809, 0.0]""","""[3938, 937]"""
6,"""[0.9101158784841841, 0.07717041800643087]""","""[0.8350574712643678, 1.0]""","""[1.0, 0.04013377926421405]""","""[2906, 598]""",0.5082272887229919,"""[0.8900273224043715, 0.0]""","""[0.8066446553858853, 0.0]""","""[0.9926358557643474, 0.0]""","""[3938, 937]"""
7,"""[0.9168510907366424, 0.22873900293255134]""","""[0.847953216374269, 0.9285714285714286]""","""[0.9979353062629044, 0.13043478260869565]""","""[2906, 598]""",0.43071407079696655,"""[0.8893826005612722, 0.21035058430717862]""","""[0.8242306025140875, 0.4827586206896552]""","""[0.9657186389029965, 0.1344717182497332]""","""[3938, 937]"""
8,"""[0.7791002622553964, 0.4661140906874695]""","""[0.9414919551438323, 0.32897453544390914]""","""[0.6644872677219545, 0.7993311036789298]""","""[2906, 598]""",0.2914655804634094,"""[0.8662404412686474, 0.398195149464185]""","""[0.8554097548898242, 0.4222488038277512]""","""[0.8773489080751651, 0.3767342582710779]""","""[3938, 937]"""
9,"""[0.8338049424636862, 0.4838898652606913]""","""[0.9227557411273486, 0.37240757439134353]""","""[0.760495526496903, 0.6906354515050167]""","""[2906, 598]""",0.14606505632400513,"""[0.884308673782358, 0.41025641025641024]""","""[0.8554474246380251, 0.4954682779456193]""","""[0.915185373285932, 0.35005336179295626]""","""[3938, 937]"""
10,"""[0.9134948096885813, 0.15384615384615383]""","""[0.8412514484356894, 0.9615384615384616]""","""[0.9993117687543015, 0.08361204013377926]""","""[2906, 598]""",0.11004012078046799,"""[0.8869117302739404, 0.2003311258278146]""","""[0.8227628149435273, 0.44649446494464945]""","""[0.9619095987811072, 0.12913553895410887]""","""[3938, 937]"""
11,"""[0.9138481174218251, 0.2702702702702703]""","""[0.8518738845925045, 0.704225352112676]""","""[0.9855471438403304, 0.16722408026755853]""","""[2906, 598]""",0.19535619020462036,"""[0.8894936109796497, 0.28043143297380585]""","""[0.832742578644218, 0.5041551246537396]""","""[0.9545454545454546, 0.19423692636072573]""","""[3938, 937]"""
12,"""[0.760851760851761, 0.4500941619585688]""","""[0.9393326592517695, 0.3132372214941022]""","""[0.6393668272539573, 0.7993311036789298]""","""[2906, 598]""",0.15159250795841217,"""[0.794088944653562, 0.4268529297632906]""","""[0.880370942812983, 0.3353658536585366]""","""[0.723209751142712, 0.5869797225186766]""","""[3938, 937]"""
13,"""[0.8667127071823204, 0.3651315789473684]""","""[0.8697158697158697, 0.3592233009708738]""","""[0.8637302133516862, 0.3712374581939799]""","""[2906, 598]""",0.1279885470867157,"""[0.7906332271026743, 0.4034741413343861]""","""[0.8700823421774931, 0.3201754385964912]""","""[0.7244794311833418, 0.5453575240128068]""","""[3938, 937]"""
14,"""[0.9105426103959591, 0.36969001148105624]""","""[0.8647477561126586, 0.5897435897435898]""","""[0.961459050240881, 0.2692307692307692]""","""[2906, 598]""",0.10199151188135147,"""[0.8526588845654993, 0.4431372549019608]""","""[0.8714209968186638, 0.4097914777878513]""","""[0.834687658710005, 0.4823906083244397]""","""[3938, 937]"""
15,"""[0.9128418359187589, 0.2781456953642384]""","""[0.8527039139527935, 0.6687898089171974]""","""[0.9821059876118375, 0.17558528428093645]""","""[2906, 598]""",0.081234872341156,"""[0.8558243951110002, 0.33256351039260973]""","""[0.8409313725490196, 0.3622641509433962]""","""[0.8712544438801422, 0.3073639274279616]""","""[3938, 937]"""
16,"""[0.9156972111553785, 0.2783083219645293]""","""[0.8527753042445829, 0.7555555555555555]""","""[0.9886441844459738, 0.1705685618729097]""","""[2906, 598]""",0.07109285891056061,"""[0.8730877493574839, 0.34325522482583914]""","""[0.8426647767540751, 0.4221183800623053]""","""[0.9057897409852718, 0.2892209178228389]""","""[3938, 937]"""
17,"""[0.9168402499599422, 0.32333767926988266]""","""[0.8578710644677661, 0.7337278106508875]""","""[0.9845147969717826, 0.20735785953177258]""","""[2906, 598]""",0.06906304508447647,"""[0.8556109725685784, 0.330635838150289]""","""[0.8405193532582068, 0.36065573770491804]""","""[0.8712544438801422, 0.3052294557097118]""","""[3938, 937]"""
18,"""[0.9163152773272786, 0.38717339667458434]""","""[0.8665644171779141, 0.6680327868852459]""","""[0.9721266345492086, 0.2725752508361204]""","""[2906, 598]""",0.05852314084768295,"""[0.8282457749246692, 0.3807274444969297]""","""[0.8554803788903924, 0.34152542372881356]""","""[0.8026917216861351, 0.43009605122732125]""","""[3938, 937]"""
19,"""[0.9172391233235198, 0.43400447427293065]""","""[0.8740648379052369, 0.6554054054054054]""","""[0.9649002064693737, 0.32441471571906355]""","""[2906, 598]""",0.060574717819690704,"""[0.8244435664427763, 0.3820120537783959]""","""[0.8563611491108071, 0.3377049180327869]""","""[0.7948197054342305, 0.439701173959445]""","""[3938, 937]"""
